SubjectID	Weight	gender	age	educ	work
1585271561336716230	2647.249658303468	1	60	3	1
1585271561337034143	2751.494709612499	1	70	3	2
1585271561337052048	1265.847051349456	2	40	3	1
3386713771679532483	6235.815710807376	1	33	3	1
8079470792529455296	13250.46863707984	2	20	2	2
7023315206146	11569.140222000613	1	17	2	2
360293909705804547	6523.999562276811	1	65	2	2
801651201304652925	4059.757988321748	1	34	3	1
1585271561336795700	5301.287641989294	2	25	3	1
1585271561336816437	2720.1142982842007	2	56	3	1
1585271561336869471	3696.402261160903	2	55	3	1
1585271561336909092	13623.1646041303	1	37	2	1
1585271561336937810	5644.355210989804	2	34	3	2
2233791780476071086	2720.1142982842007	2	60	3	1
3107495819638274051	7167.433091155163	2	29	3	2
3674943860293410642	6996.936446606863	1	45	2	1
4827866083748766528	13406.269778046957	2	30	2	1
5269763343470327296	6002.446851231566	2	28	3	2
5630358667998803072	6000.969458062767	1	44	3	1
6052843423965704274	7798.192465482345	2	57	2	1
6269016405102144663	7309.513538230646	2	66	2	2
6701361217345429977	9147.29110007984	1	73	2	2
8872104940726666496	11987.576205013607	2	47	2	2
288237078746274882	5544.377434190007	2	38	3	2
360293909705804297	19496.424587761867	1	33	2	1
1585271561336646655	2957.5701673779945	2	36	3	1
1585271561336685858	8539.711687378807	1	44	3	1
1585271561336763555	2844.9203599115453	1	59	3	2
1585271561336857693	7190.3208539450725	1	50	2	1
1585271561336952750	3642.4121046680884	2	51	3	1
1585271561336957260	6099.891507452016	1	74	3	2
1585271561336994906	1931.8677086449281	1	47	3	1
1585271561337003297	10724.7007633171	2	59	2	1
1585271561337022991	7776.72379705234	2	35	3	1
1585271561337024564	15692.122415212565	2	53	2	1
2449965110012012805	7578.8397250205035	1	70	3	2
2738194092690289784	23041.081196654337	1	19	2	1
2954367870147815492	13823.903606290181	2	25	3	1
5476383584065962182	3452.514525438348	2	50	3	1
6351137548970431744	3606.8363237969534	1	65	3	2
6629304165209876463	7776.72379705234	2	39	3	1
7360462210047527552	3926.2397037201854	1	55	3	1
8007412861180940544	8400.773450589993	2	43	2	1
8801350634104590208	4024.487371058016	2	40	3	1
8873751701472613056	5818.83831354718	1	39	2	1
225192052591217665	18158.43422321939	2	36	2	1
1585271561336806397	12303.874411596546	2	72	3	2
1585271561336969570	45429.59422387647	2	33	3	1
1585271561336978489	9367.286182708276	2	56	3	1
1585271561337008195	15726.990579713038	1	45	2	1
1729388589032332295	17044.879403574363	1	45	2	1
2531033574337164009	14543.066191274944	1	62	2	2
3900729672567021184	9318.78382182765	2	43	3	1
6341074104264851725	8617.046350414896	2	35	3	2
6629304165209878364	4471.12900949067	2	51	3	1
8214572793405073281	36815.529842538155	1	34	3	1
5034735007706	2160.9936132854073	1	45	3	1
216178771397981588	25305.060487749946	1	17	2	2
1224996632231162432	6182.119354342569	1	31	3	1
1585271561336703786	4196.790871881526	1	54	3	1
1585271561336774816	2044.9018945138582	1	60	3	2
1585271561336803933	2044.9018945138582	1	74	3	2
1585271561336891765	5499.766502462952	2	55	3	2
2305848744076622773	5419.487850534024	1	49	2	1
2738194092690289051	25305.060487749946	1	18	2	2
6196960978728068993	24124.462360329206	2	24	3	2
6629304165209877104	14777.235126942718	2	66	2	2
6629304165209878404	15847.612363001965	1	22	3	1
7358892977604607296	6438.840513075551	2	44	3	1
801651201304654130	3979.02458423439	2	44	3	1
1585271561336631546	3377.9710197259574	1	53	2	1
1585271561336866352	2274.349399591688	2	60	3	2
1585271561336986113	7483.697644406789	2	51	2	1
6629304165209876808	1425.6381020276765	1	51	3	1
936755082263721948	19162.19094104338	2	43	2	1
1585271561336622539	3719.074165994671	2	42	3	1
1585271561336639427	2026.3047359069546	2	51	3	1
1585271561336697894	2451.796102614462	1	38	3	1
1585271561336918592	2110.713313259041	2	69	3	2
3386714639829443713	2523.831369273247	2	41	3	1
4827866083748764034	8664.62711480082	2	39	2	1
6052843423965704167	4453.665404845548	2	37	3	1
6052843423965704586	1561.955644895325	2	46	3	1
6052843423965704624	5685.238035499923	1	33	3	1
6629304165209877276	2112.7998885395436	2	69	3	2
6629304165209878333	9244.927270086144	1	42	2	1
720583759961124417	30034.366297348963	1	23	2	1
1017826200793647169	6964.8365654451845	1	56	3	1
1585271561336641511	3281.7156537184105	2	39	3	1
1585271561336782640	2575.235829031632	2	46	3	1
1585271561336835648	4907.436535268067	2	54	3	1
1585271561337006467	6418.95729743509	1	45	3	1
2305848744076623285	9838.500493536614	2	55	2	2
6629304165209876733	14704.698233569827	2	58	2	1
6629304165209877463	8936.912152730405	1	58	2	1
6638514825870514304	4957.779145142827	2	41	3	1
8656513983633307392	10897.275586473743	1	33	3	1
1585271561336882771	4878.302035337109	1	53	3	1
1585271561337045534	12886.784792274997	2	55	2	1
2305848744076622175	15846.51567390703	2	35	3	1
3242598036180166735	14543.066191274944	1	64	2	2
4692759896965138496	22007.5093158621	2	67	2	2
5918247063816687296	7663.874421756269	2	48	3	1
6133915128677094021	33799.82093073346	1	30	2	2
6629304165209877554	18239.003701672584	1	43	2	1
8367701594454496128	78320.90230903705	1	17	2	2
5034735006677	3270.4142431387686	2	58	3	1
442898794492801344	4196.790871881526	1	46	3	1
1008814384946818944	2044.9018945138582	1	72	3	2
1585271561336584084	3984.917941588226	1	45	2	1
1585271561336597545	2160.9936132854073	1	50	3	1
1585271561336850229	6461.194777209915	2	57	2	1
1585271561337047188	7102.073620244338	2	74	2	2
1585271561337050800	2781.0662942873296	1	65	3	2
2305848744076623949	2696.699279345558	1	42	3	1
2954368644292678466	1718.4312819085458	2	47	3	2
5413337214202458058	2891.595644554632	2	50	3	1
6341072931965192269	2044.9018945138582	1	82	3	2
6629304165209876788	2889.193888436818	1	41	3	1
9007204939872883109	4423.914362395623	2	46	3	1
226513910622244864	3792.253577008089	1	59	3	1
1585271561337036988	1265.847051349456	2	38	3	1
1585271561337047925	2042.263439330556	1	47	3	1
1585271561337053725	2042.263439330556	1	49	3	1
1585271561336815700	2158.469457113111	1	35	3	1
1585271561337041472	2607.344018205265	1	38	3	1
1585271561337047695	2112.7998885395436	2	79	3	2
2305848744076622902	2561.439391098754	2	45	3	1
3539840753486241290	3326.2069170158616	2	48	3	1
5260210116220431610	3464.7647503312505	2	71	3	2
6629304165209877459	2397.550105761714	2	71	3	2
6701361217345428955	2299.3976666845397	2	47	3	1
8935148960500687296	15023.331945339512	1	21	2	2
9007204939872883395	3543.1571131395635	1	41	3	1
1297043019275485058	9458.310560063246	1	47	2	1
1585271561336634547	7996.481936947234	2	40	3	1
1585271561336660742	2798.6774930157553	1	48	3	1
1585271561336662776	6193.264668921159	1	57	3	1
1585271561336806545	8015.876287152895	1	29	3	1
1585271561336886438	3291.2995033020843	1	37	3	1
1585271561336891821	10903.712087935464	2	34	3	1
1585271561336910420	6336.783450905441	2	63	2	2
1585271561337009499	4257.214285755319	2	65	3	2
1585271561337044511	2943.5077307845336	1	51	3	1
1884200203106418176	5120.083287007743	1	49	2	1
2233792637557840833	30909.88333831885	2	29	2	1
2305848744076623829	3468.10307088104	1	68	3	2
2388074970946211136	25995.909128358555	1	31	2	2
2531033574337167724	5102.310574010398	2	36	3	1
2882311337796878849	7173.8729415852	2	64	2	1
3539842169068609153	4858.338244273833	1	64	3	1
4693416138371357248	8820.698200129586	1	53	2	1
5548440520018748673	12349.773043177885	2	57	2	2
7863297125675402049	8128.814489577389	1	62	2	2
9088275627116839169	4381.8055203839585	1	35	3	1
8179009397504	7055.163736846874	1	65	3	2
1585271561337046795	16797.608691591824	1	42	2	1
2017618760585040015	18239.003701672584	1	41	2	1
6341074104264849900	8781.99109799404	2	50	2	1
7782225885427882756	7663.874421756269	2	54	3	1
801651201304653959	3315.4602291349124	2	37	3	1
1233998501833435265	16610.638150007264	1	33	2	1
1585271561336929362	4509.025454000697	2	41	3	1
1585271561337051004	3594.8030549075856	2	71	3	2
2458976577495921196	2017.0158683154575	1	46	3	1
4827866083748768900	4328.393274174412	1	58	2	2
7358893679870291010	2781.0662942873296	1	83	3	2
1585271561336620665	1439.384057092728	2	47	3	1
1666343015431464581	10085.035711662878	2	37	2	1
1585271561336716829	2028.3078679032087	2	53	3	1
1585271561336838304	5271.877659527095	1	30	3	1
1585271561336920257	5458.4896734398635	1	39	2	1
1585271561337017703	7191.368086255366	2	61	2	1
4107288694615506778	4194.580698463668	2	55	3	1
6341074104264852557	5072.6001224015545	1	38	2	1
6566258848326421130	11270.093758136223	2	49	2	1
8646917760436539584	2777.579609453283	2	46	3	1
513469024742286848	7216.89047569596	2	49	2	1
1008813765626948675	3468.10307088104	1	70	3	2
1585271561336616090	3521.190531147066	1	64	3	1
1585271561336687791	6318.14669265922	1	63	2	1
1585271561336693314	2761.389142191172	2	51	3	1
1585271561336693478	10091.96866968993	2	55	2	1
1585271561336723108	4183.929502240684	1	54	3	1
1585271561336893233	4928.774099931195	2	52	3	2
1585271561336902279	4204.998317779741	2	56	3	1
1585271561336954947	2614.3930715059746	2	43	3	1
1585271561336980872	3064.950922576497	1	62	3	1
